Tanggal,Username,Tweet
"
2021-04-25 12:32:10",nurniyell,"RT @impzxcv: Saya terpaksa tanya semula tuan menteri @Khairykj , dah berapa banyak Malaysia ‘rugi’? Berapa bilion sebenarnya yang tak cukup…"

"
2021-04-25 12:32:09",sabar_setiabudi,"@VIVAcoid LAGU   ,
        
COVID-19 
PEMBUNUH JUTAAN ORANG / WAJIB VAKSIN

https://t.co/dP2Doe3uYt"

"
2021-04-25 12:32:01",yowwwwnannnn,"RT @TheUsopIbrahim: Queen back off tak rugi apa. Kita ni dah 2 tahun tak dapat beraya kampung, mak bapak meninggal tak dapat jumpa, sekolah…"

"
2021-04-25 12:31:55",HafiziHasan1,"RT @JapenKelantan: Tolong pakai mask/pelitup separuh muko dgn betul adik kakok. Tutup hidung dan mulut buke letok sakut di dagu.

Info On W…"

"
2021-04-25 12:31:52",sabar_setiabudi,"LAGU   ,
        
COVID-19 
PEMBUNUH JUTAAN ORANG / WAJIB VAKSIN

https://t.co/dP2Doe3uYt https://t.co/0QKeD85Qni"

"
2021-04-25 12:31:49",rykarlsen,"Kelar vaksin di sini: 
Mari kita pulang.

Kelar vaksin di New York: 
1. Ke Kr*spy Krem* antri donat gratis.
2. Atau… https://t.co/eAXJOXpVSG"

"
2021-04-25 12:31:43",afriski13,"RT @mawakresna: Laporan Tempo ini bikin ingat pengobatan kontroversial Terawan pertama, yakni Cell Cure, yang diklaim menyembuhkan kanker.…"

"
2021-04-25 12:31:39",AdiAryogo,Jadu guna vaksin itu untuk apa? https://t.co/nRXN9D5afY

"
2021-04-25 12:31:31",adillastrwbryml,"RT @yo_sapit: “Kita belum menang”?

More like “Kita sedang tewas.”
VIPs don’t care anymore. Diorang dah vaksin."

"
2021-04-25 12:31:31",HafiziHasan1,"RT @JapenKelantan: Tolong pakai mask/pelitup separuh muko dgn betul adik kakok. Tutup hidung dan mulut buke letok sakut di dagu.

Info On W…"

"
2021-04-25 12:31:26",HafiziHasan1,"RT @JapenKelantan: Tolong pakai mask/pelitup separuh muko dgn betul adik kakok. Tutup hidung dan mulut buke letok sakut di dagu.

Info On W…"

